abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Acute Care;Care Coordination;Primary Care;Protected Health Information Data Sharing;Specialty Care,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Inpatient;Laboratory;Pharmacy,State and Regional Demonstrations in Health Information Technology,Indianapolis,Non-rural;Rural,290-04-0015,,"$5,410,955",Indiana,Indiana University,"Overhage, Marc",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstration-health-information-technology-in,Closed,General,Bar Coding;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Data Warehouse/Data Repository;Digital Imaging;Disease Registries;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Master Patient Index;Medical Information Systems;Public Health Surveillance;Results Reporting;Secure Messaging;Shared Data Repository;Standards,State and Regional Demonstration in Health Information Technology: Indiana  (Indiana)
,Acute Care;Medication Management;Protected Health Information Data Sharing,Inpatient,Demonstrating the Value of Health Information Technology,Madison,Non-rural,,,"$1,455,066",Wisconsin,University of Wisconsin - Madison,"Carayon, Pascale",https://healthit.ahrq.gov/ahrq-funded-projects/computer-based-provider-order-entry-cpoe-implementation-intensive-care-units,Closed,Adults;Pediatric,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE),Computer-Based Provider Order Entry (CPOE) Implementation in Intensive Care Units (ICUs) (Wisconsin)
,Chronic Disease Management;Medication Management;Prevention;Quality Measurement/Quality Improvement,Ambulatory,Demonstrating the Value of Health Information Technology,Boston,Non-rural,,,"$1,499,401",Massachusetts,Brigham and Women's Hospital,"Gandhi, Tejal",https://healthit.ahrq.gov/ahrq-funded-projects/improving-safety-and-quality-outpatient-order-entry,Closed,Adults;Chronic Care;Coronary Artery Disease;Diabetes;Hypertension;Kidney Disease,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE),Improving Safety and Quality with Outpatient Order Entry (Massachusetts)
,Quality Measurement/Quality Improvement;Specialty Care,Inpatient,Demonstrating the Value of Health Information Technology,Boston,Non-rural,,,"$1,471,989",Massachusetts,Massachusetts General Hospital,"Gazelle, Scott",https://healthit.ahrq.gov/ahrq-funded-projects/value-imaging-related-information-technology,Closed,,Bar Coding;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Digital Imaging;Medical Imaging Informatics System;Medical Information Systems;Picture Archiving and Communication System;Radiology Information Systems;Voice Recognition,Value of Imaging-Related Information Technology (Massachusetts)
,Medication Management,Ambulatory,Demonstrating the Value of Health Information Technology,Indianapolis,Non-rural;Rural,,,"$1,356,108",Indiana,Indiana University-Purdue University at Indianapolis,"Schadow, Gunther",https://healthit.ahrq.gov/ahrq-funded-projects/value-new-drug-labeling-knowledge-e-prescribing,Closed,,Clinical Decision Support (CDS) System;E-Prescribing;Standards,Value of New Drug Labeling Knowledge for e-Prescribing (Indiana)
,Medication Management,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Grants Pass,Rural,,,"$1,490,897",Oregon,Three Rivers Community Hospital,"Hetz, Mark",https://healthit.ahrq.gov/ahrq-funded-projects/medication-management-closed-computerized-loop,Closed,Chronic Care;Coronary Artery Disease;Medically Underserved;Rural Health,Bar Coding;Clinical Data Repository;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Devices;Electronic Medication Administration;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Pharmacy Information System,Medication Management: A Closed Computerized Loop (Oregon)
,Medication Management;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Augusta,Rural,,,"$1,483,060",Maine,Mainegeneral Medical Center,"Mingle, Daniel",https://healthit.ahrq.gov/ahrq-funded-projects/improving-health-information-technology-implementation-rural-health-system,Closed,Chronic Care;Diabetes;Hyperlipidemia (HL);Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Improving Health Information Technology Implementation in a Rural Health System (Maine)
,Acute Care;Quality Measurement/Quality Improvement,Emergency Department (ED)/Emergency Room (ER);Inpatient,Demonstrating the Value of Health Information Technology,Davenport,Rural,,,"$1,498,916",Washington,Rural Healthcare Quality Network,"Huck, Jacqueline",https://healthit.ahrq.gov/ahrq-funded-projects/rural-health-information-technology-cooperative-promote-clinical-improvement,Closed,Coronary Artery Disease;Rural Health,Clinical Documentation;Computerized Provider Order Entry (CPOE);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Interactive Video;Internet,A Rural Health Information Technology Cooperative to Promote Clinical Improvement (Washington)
,Medication Management;Prevention,Ambulatory,Demonstrating the Value of Health Information Technology,Salt Lake City,Rural,,,"$1,499,650",Utah,University of Utah,"Samore, Matthew",https://healthit.ahrq.gov/ahrq-funded-projects/rural-trial-clinic-order-entry-decision-support,Closed,Rural Health,Clinical Decision Support (CDS) System;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;PDA (Personal Digital Assistant),Rural Trial of Clinic Order Entry with Decision Support (Utah)
,Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Sacramento,Rural,,,"$1,500,000",California,California Rural Indian Health Board,"Aranaydo, Linda",https://healthit.ahrq.gov/ahrq-funded-projects/it-systems-rural-indian-clinic-health-care,Closed,Chronic Care;Diabetes;Low-SES/Low Income;Racial/Ethnic Minorities;Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),IT Systems for Rural Indian Clinic Health Care (California)
,Prevention;Primary Care;Protected Health Information Data Sharing;Specialty Care,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Twin Falls,Rural,,,"$1,031,176",Idaho,Magic Valley Regional Medical Center,"Mullen, R'Nee",https://healthit.ahrq.gov/ahrq-funded-projects/rural-community-partnerships-electronic-medical-record-emr-implementation,Closed,Chronic Care;Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Rural Community Partnerships - Electronic Medical Record (EMR) Implementation Project (Idaho)
,Protected Health Information Data Sharing,Ambulatory,Demonstrating the Value of Health Information Technology,Indianapolis,Non-rural,,,"$1,499,662",Indiana,Indiana University-Purdue University at Indianapolis,"Overhage, Marc",https://healthit.ahrq.gov/ahrq-funded-projects/value-health-information-exchange-ambulatory-care,Closed,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Value of Health Information Exchange in Ambulatory Care (Indiana)
,Chronic Disease Management;Medication Management;Quality Measurement/Quality Improvement,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,East Cleveland,Non-rural,,,"$1,500,000",Ohio,Huron Hospital,"Moran, Barbara",https://healthit.ahrq.gov/ahrq-funded-projects/cchs-east-huron-hospital-cpoe-project,Closed,Asthma;Chronic Care;Chronic Obstructive Pulmonary Disease (COPD);Congestive Heart Failure (CHF);Diabetes;Kidney Disease;Low-SES/Low Income;Medically Underserved;Racial/Ethnic Minorities,Bar Coding;Computerized Provider Order Entry (CPOE);Electronic Medication Administration;PDA (Personal Digital Assistant);Wireless,CCHS-East Huron Hospital CPOE Project (Ohio)
,Acute Care,Emergency Department (ED)/Emergency Room (ER),Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Napoleonville,Rural,,,"$1,125,258",Louisiana,Assumption Community Hospital,"Salles, Paul",https://healthit.ahrq.gov/ahrq-funded-projects/louisiana-rural-health-information-technology-partnership,Closed,Rural Health,Bar Coding;Clinical Documentation;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Emergency Department Information System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Medical Information Systems,Louisiana Rural Health Information Technology Partnership (Louisiana)
,Protected Health Information Data Sharing,Ambulatory;Behavioral Health;Health Department;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Dixon,Rural,,,"$199,053",Illinois,Katherine Shaw Bethea Hospital,"Broos, Timothy",https://healthit.ahrq.gov/ahrq-funded-projects/linking-rural-providers-improve-patient-care-and-health,Closed,Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Linking Rural Providers to Improve Patient Care and Health (Illinois)
,Prevention;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Health Department;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Tahlequah,Rural,,,"$200,000",Oklahoma,Tahlequah City Hospital,"Jones, Mark",https://healthit.ahrq.gov/ahrq-funded-projects/health-improvement-collaboration-cherokee-county-oklahoma,Closed,Mental Health/Depression;Racial/Ethnic Minorities;Rural Health;Safety Net,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),"Health Improvement Collaboration in Cherokee County, Oklahoma (Oklahoma)"
,Medication Management;Protected Health Information Data Sharing,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Traverse City,Rural,,,"$1,254,250",Michigan,Munson Medical Center,"Oehlers, Randi",https://healthit.ahrq.gov/ahrq-funded-projects/bar-coding-patient-safety-northern-michigan,Closed,Rural Health,Bar Coding;Clinical Decision Support (CDS) System;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Devices;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Electronic Medication Administration;PDA (Personal Digital Assistant);Wide Area Network;Wireless,Bar Coding for Patient Safety in Northern Michigan (Michigan)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Coos Bay,Rural,,,"$174,190",Oregon,Bay Area Hospital,"Givens, Jeffery",https://healthit.ahrq.gov/ahrq-funded-projects/bay-area-community-informatics-project,Closed,Medically Underserved;Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Virtual Private Network,Bay Area Community Informatics Project (Oregon)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Worcester,Non-rural,,,"$1,499,999",Massachusetts,"Fallon Clinic, Inc.","Garber, Lawrence",https://healthit.ahrq.gov/ahrq-funded-projects/secure-architecture-exchanging-health-information-safehealth,Closed,General,Clinical Data Repository;Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Standards;Virtual Private Network,Secure Architecture for Exchanging Health Information (SAFEHealth) (Massachusetts)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Windsor,Rural,,,"$200,000",Vermont,Mt. Ascutney Hospital and Health Center,"Lord, C. Frederick",https://healthit.ahrq.gov/ahrq-funded-projects/improving-rural-healthcare-technology,Closed,Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Standards,Improving Rural Healthcare with Technology (Vermont)
,Improving Care Across Transitions of Care;Quality Measurement/Quality Improvement,Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Cocoa Beach,Non-rural,,,"$198,238",Florida,"Health First, Inc.","Laird, Rosemary",https://healthit.ahrq.gov/ahrq-funded-projects/promoting-patient-safety-web-based-patient-profiles,Closed,Elderly,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Promoting Patient Safety with Web-based Patient Profiles (Florida)
,Acute Care;Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Danville,Rural,,,"$200,000",Pennsylvania,Weis Center for Research,"Walker, James",https://healthit.ahrq.gov/ahrq-funded-projects/regional-approach-thqit-rural-settings,Closed,Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Regional Approach for THQIT in Rural Settings (Pennsylvania)
,Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Fishkill,Non-rural,,,"$1,500,000",New York,"Taconic, Ipa","Blair III, John",https://healthit.ahrq.gov/ahrq-funded-projects/taconic-health-information-network-and-community-thinc,Closed,Rural Health,Clinical Messaging;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Results Reporting;Standards,Taconic Health Information Network and Community (THINC) (New York)
,Medication Management;Quality Measurement/Quality Improvement,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Jonesboro,Rural,,,"$1,465,539",Arkansas,St. Bernards Medical Center,"Bates, Cinda",https://healthit.ahrq.gov/ahrq-funded-projects/arkansas-delta-inpatient-outpatient-quality-improvement,Closed,Chronic Care;Congestive Heart Failure (CHF);Coronary Artery Disease;Low-SES/Low Income;Medically Underserved;Rural Health,Bar Coding;Clinical Decision Support (CDS) System;Pharmacy Information System,Arkansas Delta Inpatient-Outpatient Quality Improvement (Arkansas)
,Medication Management;Specialty Care,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Atlanta,Non-rural,,,"$1,474,271",Georgia,"Children's Healthcare of Atlanta, Inc.","Jose, Jim",https://healthit.ahrq.gov/ahrq-funded-projects/comprehensive-information-technology-it-solution-quality-and-patient-safety,Closed,Pediatric,Bar Coding;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Devices;Electronic Medication Administration,Comprehensive Information Technology (IT) Solution for Quality and Patient Safety (Georgia)
,Protected Health Information Data Sharing;Specialty Care,Ambulatory;Inpatient,Demonstrating the Value of Health Information Technology,Portland,Non-rural,,,"$1,411,113",Oregon,Oregon Health and Science University,"Guise, Jeanne-Marie",https://healthit.ahrq.gov/ahrq-funded-projects/improving-safety-and-quality-integrated-technology,Closed,Women: Pregnancy,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Improving Safety and Quality with Integrated Technology (Oregon)
,Acute Care;Quality Measurement/Quality Improvement,Ambulatory;Primary Care,Demonstrating the Value of Health Information Technology,Houston,Non-rural,,,"$1,458,107",Texas,University of Texas Health Science Center - Houston,"Thomas, Eric",https://healthit.ahrq.gov/ahrq-funded-projects/measuring-value-remote-intensive-care-unit-icu-monitoring,Closed,Adults,Telehealth Technology,Measuring the Value of Remote Intensive Care Unit (ICU) Monitoring (Texas)
,Chronic Disease Management;Prevention;Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Granite Falls,Rural,,,"$196,274",Minnesota,Granite Falls Municipal Hospital & Manor,"Ness, Charles",https://healthit.ahrq.gov/ahrq-funded-projects/hit-strategic-plan-sw-minnesota-health-providers,Closed,Rural Health,Clinical Data Repository;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Results Reporting;Virtual Private Network,HIT Strategic Plan of SW Minnesota Health Providers (Minnesota)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Reedsburg,Non-rural;Rural,,,"$192,180",Wisconsin,Reedsburg Area Medical Center,"Size, Tim",https://healthit.ahrq.gov/ahrq-funded-projects/developing-shared-ehr-infrastructure-wisconsin,Closed,Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Developing Shared EHR Infrastructure in Wisconsin (Wisconsin)
,Acute Care;Protected Health Information Data Sharing,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,L'Anse,Rural,,,"$193,848",Michigan,Baraga County Memorial Hospital,"Wheeler, Donald",https://healthit.ahrq.gov/ahrq-funded-projects/hit-planning-critical-access-hospital-partnership,Closed,Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Telehealth Technology,HIT Planning for a Critical Access Hospital Partnership (Michigan)
,Acute Care;Quality Measurement/Quality Improvement,Emergency Department (ED)/Emergency Room (ER),Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Boston,Non-rural,,,"$1,499,998",Massachusetts,Tufts Medical Center,"Selker, Harry",https://healthit.ahrq.gov/ahrq-funded-projects/ems-based-tipi-cardiac-care-qi-error-reduction-system,Closed,Adults;Coronary Artery Disease,Clinical Decision Support (CDS) System;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Medical Devices;Results Reporting,EMS Based TIPI-IS Cardiac Care QI-Error Reduction System (Massachusetts)
,Acute Care;Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Emergency Department (ED)/Emergency Room (ER),Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Louisville,Non-rural;Rural,,,"$1,302,554",Kentucky,Jewish Hospital & St. Mary's Healthcare,"McKnight, Jacob",https://healthit.ahrq.gov/ahrq-funded-projects/ed-information-systems-kentucky-indiana-hospitals,Closed,Racial/Ethnic Minorities;Rural Health,Bar Coding;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Emergency Department Information System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Results Reporting,ED Information Systems: Kentucky & Indiana Hospitals (Kentucky)
,Chronic Disease Management;Specialty Care,Community Health Center;Prison,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Albuquerque,Rural,,,"$1,455,258",New Mexico,University of New Mexico,"Arora, Sanjeev",https://healthit.ahrq.gov/ahrq-funded-projects/project-echo-extension-community-healthcare-outcomes,Closed,Chronic Care;Hepatitis C;Rural Health,Clinical Information Systems;Interactive Video;Internet;Telehealth Technology,Project ECHO: Extension for Community Healthcare Outcomes (New Mexico)
,Medication Management;Primary Care;Specialty Care,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Seattle,Non-rural,,,"$988,385",Washington,University of Washington,"Sullivan, Sean",https://healthit.ahrq.gov/ahrq-funded-projects/evaluating-impact-acpoecds-system-outcomes,Closed,General,Clinical Decision Support (CDS) System;E-Prescribing,Evaluating the Impact of an ACPOE/CDS System on Outcomes (Washington)
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Chicago,Non-rural,,,"$1,499,132",Illinois,"Erie Family Health Center, Inc.","Rachman, Fred",https://healthit.ahrq.gov/ahrq-funded-projects/enhancing-quality-patient-care-equip-project,Closed,Chronic Care;Congestive Heart Failure (CHF);Coronary Artery Disease;Diabetes;HIV/AIDS;Hypertension;Low-SES/Low Income;Racial/Ethnic Minorities;Safety Net,Clinical Data Repository;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Master Patient Index;Results Reporting,Enhancing Quality in Patient Care (EQUIP) Project (Illinois)
,Chronic Disease Management;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Community Health Center;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Tehachapi,Rural,,,"$199,145",California,Tehchapi Valley Hospital,"Nocella, Kiki",https://healthit.ahrq.gov/ahrq-funded-projects/crossing-quality-chasm-eastern-rural-kern-county,Closed,Chronic Care;Diabetes;Rural Health,Clinical Data Repository;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR);Telehealth Technology,Crossing the Quality Chasm in Eastern Rural Kern County (California)
,Chronic Disease Management;Protected Health Information Data Sharing,Ambulatory;Home;Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Presque Isle,Rural,,,"$200,000",Maine,Aroostook Medical Center,"Branscombe, John",https://healthit.ahrq.gov/ahrq-funded-projects/chronic-care-technology-planning-project,Closed,Adults;Chronic Care;Rural Health,Computerized Provider Order Entry (CPOE);Continuity of Care Record;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),The Chronic Care Technology Planning Project (Maine)
,Protected Health Information Data Sharing,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Boston,Non-rural;Rural,,,"$1,497,154",Massachusetts,Brigham and Women's Hospital,"Bates, David",https://healthit.ahrq.gov/ahrq-funded-projects/statewide-implementation-electronic-health-records,Closed,,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Statewide Implementation of Electronic Health Records (Massachusetts)
,Chronic Disease Management;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Inpatient;Laboratory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Albuquerque,Rural,,,"$1,455,807",New Mexico,Lovelace Clinic Foundation,"Gunter, Margaret",https://healthit.ahrq.gov/ahrq-funded-projects/new-mexico-health-information-collaborative-nmhic,Closed,Asthma;Chronic Care;Diabetes;Pediatric;Rural Health,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet,New Mexico Health Information Collaborative (NMHIC) (New Mexico)
,Care Coordination;Protected Health Information Data Sharing,Behavioral Health,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Holbrook,Non-rural;Rural,,,"$200,000",Nebraska,Heartland Health Alliance,"Baker, Wende",https://healthit.ahrq.gov/ahrq-funded-projects/hit-plan-region-v-behavioral-health-care-providers,Closed,Mental Health/Depression;Rural Health,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),HIT Plan for Region V Behavioral Health Care Providers (Nebraska)
